n,win_rate,target_hit_rate,avg_return,median_return,max_return,min_return,avg_hold_days,ticker,zone,target_pct,hold_days
23,82.6,78.3,8.15,11.46,28.04,-22.27,20.5,TQQQ,Extreme Fear (1-10),10.0,30
41,75.6,65.9,4.37,10.56,16.33,-36.78,24.1,TQQQ,Level2 Fear (11-20),10.0,30
22,86.4,86.4,9.92,11.97,28.04,-27.05,26.6,TQQQ,Extreme Fear (1-10),10.0,60
37,86.5,86.5,8.63,11.1,16.33,-27.54,34.3,TQQQ,Level2 Fear (11-20),10.0,60
21,71.4,52.4,6.0,15.19,28.04,-22.27,30.0,TQQQ,Extreme Fear (1-10),15.0,30
39,74.4,51.3,6.62,15.12,20.01,-35.4,28.1,TQQQ,Level2 Fear (11-20),15.0,30
20,85.0,85.0,12.21,15.92,28.04,-27.05,43.4,TQQQ,Extreme Fear (1-10),15.0,60
34,79.4,73.5,9.06,15.72,20.01,-27.54,42.1,TQQQ,Level2 Fear (11-20),15.0,60
19,63.2,31.6,4.09,6.61,28.04,-26.53,37.2,TQQQ,Extreme Fear (1-10),20.0,30
35,65.7,37.1,4.92,7.25,28.0,-35.4,35.0,TQQQ,Level2 Fear (11-20),20.0,30
16,75.0,50.0,10.41,19.59,28.04,-27.05,60.7,TQQQ,Extreme Fear (1-10),20.0,60
30,73.3,56.7,9.88,20.08,24.56,-27.54,58.4,TQQQ,Level2 Fear (11-20),20.0,60
