ticker,year,n,win_rate,avg_return,median,max,min
QQQ,2011,3,66.7,4.2,3.8,10.1,-1.5
QQQ,2012,1,100.0,5.7,5.7,5.7,5.7
QQQ,2013,2,100.0,10.4,10.4,10.5,10.4
QQQ,2014,3,100.0,5.0,5.7,7.1,2.1
QQQ,2015,2,50.0,3.8,3.8,10.3,-2.8
QQQ,2016,2,100.0,7.6,7.6,8.5,6.7
QQQ,2017,1,100.0,9.0,9.0,9.0,9.0
QQQ,2018,3,66.7,2.7,5.2,10.1,-7.2
QQQ,2019,1,100.0,10.0,10.0,10.0,10.0
QQQ,2020,1,100.0,10.6,10.6,10.6,10.6
QQQ,2021,1,100.0,10.1,10.1,10.1,10.1
QQQ,2022,3,0.0,-2.9,-1.9,-1.5,-5.4
QQQ,2024,2,50.0,1.7,1.7,10.0,-6.6
QQQ,2025,2,50.0,5.1,5.1,10.3,-0.2
QQQ,2026,1,100.0,10.0,10.0,10.0,10.0
TQQQ,2011,3,66.7,5.4,10.8,11.6,-6.3
TQQQ,2012,1,100.0,10.9,10.9,10.9,10.9
TQQQ,2013,3,100.0,11.7,11.8,12.3,11.1
TQQQ,2014,4,100.0,12.1,12.1,13.6,10.7
TQQQ,2015,2,50.0,-1.4,-1.4,13.3,-16.2
TQQQ,2016,2,100.0,10.9,10.9,11.0,10.7
TQQQ,2017,1,100.0,10.1,10.1,10.1,10.1
TQQQ,2018,5,80.0,3.6,11.2,13.0,-27.5
TQQQ,2019,1,100.0,14.6,14.6,14.6,14.6
TQQQ,2020,2,100.0,14.5,14.5,15.4,13.6
TQQQ,2021,2,100.0,10.2,10.2,10.3,10.2
TQQQ,2022,6,83.3,9.3,11.3,16.3,-8.0
TQQQ,2024,2,100.0,12.9,12.9,15.6,10.1
TQQQ,2025,2,50.0,1.4,1.4,10.0,-7.2
TQQQ,2026,1,100.0,13.0,13.0,13.0,13.0
