label,n,win_rate,target_hit_rate,avg_return,median_return,avg_hold_days,max_return,min_return,target_gain_pct,hold_days_max,ticker
Extreme Fear (1-10),28,67.9,3.6,1.64,2.34,14.0,10.25,-11.75,10.0,10,QQQ
Level2 Fear (11-20),52,67.3,5.8,1.39,2.62,14.4,11.21,-13.77,10.0,10,QQQ
Fear (21-40),122,64.8,0.8,0.78,1.13,14.4,10.25,-14.95,10.0,10,QQQ
Neutral (41-60),154,58.4,0.0,0.31,1.05,14.5,8.07,-13.67,10.0,10,QQQ
Extreme Fear (1-10),20,70.0,10.0,1.96,2.62,27.0,11.05,-9.77,10.0,20,QQQ
Level2 Fear (11-20),39,66.7,2.6,1.33,1.95,28.5,10.13,-9.43,10.0,20,QQQ
Fear (21-40),86,68.6,8.1,1.63,2.13,28.1,11.72,-22.84,10.0,20,QQQ
Neutral (41-60),109,64.2,1.8,1.43,2.13,28.8,10.47,-14.47,10.0,20,QQQ
Extreme Fear (1-10),19,73.7,15.8,2.79,2.95,39.7,11.25,-6.62,10.0,30,QQQ
Level2 Fear (11-20),33,60.6,12.1,1.76,2.63,41.0,10.13,-10.68,10.0,30,QQQ
Fear (21-40),70,71.4,14.3,2.11,2.71,41.0,11.72,-19.54,10.0,30,QQQ
Neutral (41-60),87,69.0,5.7,2.11,2.84,42.6,12.39,-11.88,10.0,30,QQQ
Extreme Fear (1-10),15,80.0,40.0,5.13,8.65,71.5,11.05,-6.84,10.0,60,QQQ
Level2 Fear (11-20),28,71.4,39.3,4.97,6.92,73.6,10.56,-7.22,10.0,60,QQQ
Fear (21-40),46,73.9,30.4,3.71,5.99,77.8,11.56,-16.6,10.0,60,QQQ
Neutral (41-60),55,83.6,36.4,4.54,4.6,78.2,11.36,-15.02,10.0,60,QQQ
Extreme Fear (1-10),28,67.9,0.0,1.36,2.34,14.5,9.59,-11.75,15.0,10,QQQ
Level2 Fear (11-20),52,67.3,0.0,1.44,2.62,14.6,12.2,-13.77,15.0,10,QQQ
Fear (21-40),122,64.8,0.0,0.78,1.13,14.4,9.9,-14.95,15.0,10,QQQ
Neutral (41-60),154,58.4,0.0,0.31,1.05,14.5,8.07,-13.67,15.0,10,QQQ
Extreme Fear (1-10),20,70.0,5.0,2.32,2.62,28.6,15.65,-9.77,15.0,20,QQQ
Level2 Fear (11-20),39,66.7,2.6,1.46,1.95,28.9,15.08,-9.43,15.0,20,QQQ
Fear (21-40),86,68.6,0.0,1.6,2.13,29.0,12.87,-22.84,15.0,20,QQQ
Neutral (41-60),109,64.2,0.9,1.49,2.13,28.9,15.04,-14.47,15.0,20,QQQ
Extreme Fear (1-10),19,73.7,5.3,2.8,3.23,42.6,15.65,-6.62,15.0,30,QQQ
Level2 Fear (11-20),33,63.6,9.1,2.42,2.66,42.4,16.46,-10.68,15.0,30,QQQ
Fear (21-40),69,71.0,4.3,2.19,2.56,43.1,15.56,-19.54,15.0,30,QQQ
Neutral (41-60),86,67.4,2.3,2.16,2.58,43.1,15.2,-11.88,15.0,30,QQQ
Extreme Fear (1-10),13,84.6,7.7,5.0,4.04,82.8,15.65,-6.84,15.0,60,QQQ
Level2 Fear (11-20),27,70.4,7.4,5.27,6.72,83.3,15.68,-7.22,15.0,60,QQQ
Fear (21-40),44,77.3,13.6,4.36,5.99,84.2,16.33,-16.6,15.0,60,QQQ
Neutral (41-60),51,82.4,7.8,3.85,4.04,83.8,15.74,-23.97,15.0,60,QQQ
Extreme Fear (1-10),28,67.9,0.0,1.36,2.34,14.5,9.59,-11.75,20.0,10,QQQ
Level2 Fear (11-20),52,67.3,0.0,1.44,2.62,14.6,12.2,-13.77,20.0,10,QQQ
Fear (21-40),122,64.8,0.0,0.78,1.13,14.4,9.9,-14.95,20.0,10,QQQ
Neutral (41-60),154,58.4,0.0,0.31,1.05,14.5,8.07,-13.67,20.0,10,QQQ
Extreme Fear (1-10),20,70.0,0.0,2.28,2.62,28.8,14.97,-9.77,20.0,20,QQQ
Level2 Fear (11-20),39,66.7,0.0,1.42,1.95,29.1,13.32,-9.43,20.0,20,QQQ
Fear (21-40),86,68.6,0.0,1.6,2.13,29.0,12.87,-22.84,20.0,20,QQQ
Neutral (41-60),109,64.2,0.0,1.5,2.13,28.9,17.05,-14.47,20.0,20,QQQ
Extreme Fear (1-10),19,73.7,5.3,3.04,3.23,43.2,20.15,-6.62,20.0,30,QQQ
Level2 Fear (11-20),33,63.6,0.0,2.36,2.66,43.5,16.87,-10.68,20.0,30,QQQ
Fear (21-40),69,71.0,0.0,2.2,2.56,43.2,15.58,-19.54,20.0,30,QQQ
Neutral (41-60),86,67.4,0.0,2.16,2.58,43.3,15.13,-11.88,20.0,30,QQQ
Extreme Fear (1-10),13,84.6,7.7,5.35,4.04,83.5,20.15,-6.84,20.0,60,QQQ
Level2 Fear (11-20),27,70.4,0.0,5.06,6.72,85.7,16.08,-7.22,20.0,60,QQQ
Fear (21-40),44,77.3,0.0,4.46,6.08,86.9,18.61,-16.6,20.0,60,QQQ
Neutral (41-60),51,82.4,2.0,3.76,4.12,85.3,22.38,-23.97,20.0,60,QQQ
