entry_date,exit_date,fg_score,entry_price,exit_price,return_pct,hold_days,hit_target,target_gain_pct,label
2011-03-17,2011-03-31,9,47.87,50.38,5.24,14,False,10.0,Extreme Fear (1-10)|10%|10d
2011-06-03,2011-06-17,9,49.43,47.29,-4.33,14,False,10.0,Extreme Fear (1-10)|10%|10d
2011-06-23,2011-07-08,10,48.66,51.9,6.67,15,False,10.0,Extreme Fear (1-10)|10%|10d
2011-08-01,2011-08-15,10,50.76,47.79,-5.84,14,False,10.0,Extreme Fear (1-10)|10%|10d
2011-08-22,2011-09-06,7,44.15,46.85,6.13,15,False,10.0,Extreme Fear (1-10)|10%|10d
2012-05-31,2012-06-14,10,54.97,55.23,0.48,14,False,10.0,Extreme Fear (1-10)|10%|10d
2014-07-31,2014-08-14,10,86.85,88.6,2.01,14,False,10.0,Extreme Fear (1-10)|10%|10d
2014-09-25,2014-10-09,8,89.55,88.74,-0.9,14,False,10.0,Extreme Fear (1-10)|10%|10d
2014-10-15,2014-10-29,1,84.63,91.45,8.05,14,False,10.0,Extreme Fear (1-10)|10%|10d
2015-06-29,2015-07-14,8,98.57,101.86,3.35,15,False,10.0,Extreme Fear (1-10)|10%|10d
2015-07-27,2015-08-10,7,101.79,103.07,1.26,14,False,10.0,Extreme Fear (1-10)|10%|10d
2015-08-20,2015-09-03,8,98.93,95.52,-3.45,14,False,10.0,Extreme Fear (1-10)|10%|10d
2016-01-15,2016-02-01,10,93.67,96.99,3.54,17,False,10.0,Extreme Fear (1-10)|10%|10d
2018-02-08,2018-02-23,8,145.45,159.4,9.59,15,False,10.0,Extreme Fear (1-10)|10%|10d
2018-03-01,2018-03-15,8,155.9,162.58,4.29,14,False,10.0,Extreme Fear (1-10)|10%|10d
2018-03-22,2018-04-06,9,154.56,148.7,-3.79,15,False,10.0,Extreme Fear (1-10)|10%|10d
2018-10-10,2018-10-24,8,163.68,157.59,-3.72,14,False,10.0,Extreme Fear (1-10)|10%|10d
2018-10-30,2018-11-13,10,158.14,158.67,0.33,14,False,10.0,Extreme Fear (1-10)|10%|10d
2018-11-19,2018-12-04,8,154.46,157.95,2.26,15,False,10.0,Extreme Fear (1-10)|10%|10d
2018-12-10,2018-12-24,9,155.42,137.16,-11.75,14,False,10.0,Extreme Fear (1-10)|10%|10d
2019-01-03,2019-01-17,10,143.2,156.4,9.22,14,False,10.0,Extreme Fear (1-10)|10%|10d
2020-02-28,2020-03-13,10,198.33,185.36,-6.54,14,False,10.0,Extreme Fear (1-10)|10%|10d
2020-03-19,2020-04-02,7,171.21,179.64,4.92,14,False,10.0,Extreme Fear (1-10)|10%|10d
2021-07-19,2021-08-02,8,344.58,354.23,2.8,14,False,10.0,Extreme Fear (1-10)|10%|10d
2021-09-30,2021-10-14,9,348.16,356.6,2.42,14,False,10.0,Extreme Fear (1-10)|10%|10d
2022-05-09,2022-05-23,8,289.74,286.17,-1.24,14,False,10.0,Extreme Fear (1-10)|10%|10d
2025-04-04,2025-04-09,5,420.63,463.76,10.25,5,True,10.0,Extreme Fear (1-10)|10%|10d
2025-11-18,2025-12-03,8,594.79,621.93,4.56,15,False,10.0,Extreme Fear (1-10)|10%|10d
2011-03-14,2011-03-28,13,49.31,49.59,0.57,14,False,10.0,Level2 Fear (11-20)|10%|10d
2011-05-23,2011-06-07,16,49.93,48.94,-1.99,15,False,10.0,Level2 Fear (11-20)|10%|10d
2011-06-24,2011-07-11,11,47.81,50.96,6.58,17,False,10.0,Level2 Fear (11-20)|10%|10d
2011-07-29,2011-08-12,16,51.0,47.1,-7.64,14,False,10.0,Level2 Fear (11-20)|10%|10d
2011-08-25,2011-09-09,11,45.57,46.76,2.6,15,False,10.0,Level2 Fear (11-20)|10%|10d
2011-10-03,2011-10-11,20,45.05,49.61,10.13,8,True,10.0,Level2 Fear (11-20)|10%|10d
2012-05-15,2012-05-30,20,56.13,55.21,-1.64,15,False,10.0,Level2 Fear (11-20)|10%|10d
2012-06-05,2012-06-19,14,54.14,57.03,5.35,14,False,10.0,Level2 Fear (11-20)|10%|10d
2013-06-20,2013-07-05,19,63.74,65.33,2.51,15,False,10.0,Level2 Fear (11-20)|10%|10d
2013-08-27,2013-09-11,18,67.64,70.27,3.89,15,False,10.0,Level2 Fear (11-20)|10%|10d
2013-10-08,2013-10-22,20,69.72,74.44,6.77,14,False,10.0,Level2 Fear (11-20)|10%|10d
2014-01-29,2014-02-12,20,76.92,80.58,4.76,14,False,10.0,Level2 Fear (11-20)|10%|10d
2014-08-13,2014-08-27,13,88.14,90.96,3.2,14,False,10.0,Level2 Fear (11-20)|10%|10d
2014-09-23,2014-10-07,18,90.5,88.48,-2.24,14,False,10.0,Level2 Fear (11-20)|10%|10d
