entry_date,exit_date,fg_score,entry_price,exit_price,return_pct,hold_days,hit_target,target_gain_pct,label
2011-03-17,2011-04-29,9,47.87,51.83,8.26,43,False,10.0,Extreme Fear (1-10)|10%|30d
2011-06-03,2011-07-18,9,49.43,50.59,2.34,45,False,10.0,Extreme Fear (1-10)|10%|30d
2011-08-01,2011-09-13,10,50.76,47.99,-5.46,43,False,10.0,Extreme Fear (1-10)|10%|30d
2012-05-31,2012-07-13,10,54.97,56.27,2.36,43,False,10.0,Extreme Fear (1-10)|10%|30d
2014-07-31,2014-09-12,10,86.85,90.93,4.69,43,False,10.0,Extreme Fear (1-10)|10%|30d
2014-09-25,2014-11-06,8,89.55,93.17,4.04,42,False,10.0,Extreme Fear (1-10)|10%|30d
2015-06-29,2015-08-11,8,98.57,101.75,3.23,43,False,10.0,Extreme Fear (1-10)|10%|30d
2015-08-20,2015-10-02,8,98.93,96.32,-2.63,43,False,10.0,Extreme Fear (1-10)|10%|30d
2016-01-15,2016-03-01,10,93.67,98.27,4.91,46,False,10.0,Extreme Fear (1-10)|10%|30d
2018-02-08,2018-02-26,8,145.45,161.51,11.05,18,True,10.0,Extreme Fear (1-10)|10%|30d
2018-03-22,2018-05-04,9,154.56,156.52,1.27,43,False,10.0,Extreme Fear (1-10)|10%|30d
2018-10-10,2018-11-21,8,163.68,152.85,-6.62,42,False,10.0,Extreme Fear (1-10)|10%|30d
2018-12-10,2019-01-24,9,155.42,155.99,0.37,45,False,10.0,Extreme Fear (1-10)|10%|30d
2020-02-28,2020-04-13,10,198.33,196.08,-1.14,45,False,10.0,Extreme Fear (1-10)|10%|30d
2021-07-19,2021-08-30,8,344.58,369.44,7.22,42,False,10.0,Extreme Fear (1-10)|10%|30d
2021-09-30,2021-11-04,9,348.16,387.32,11.25,35,True,10.0,Extreme Fear (1-10)|10%|30d
2022-05-09,2022-06-22,8,289.74,274.2,-5.36,44,False,10.0,Extreme Fear (1-10)|10%|30d
2025-04-04,2025-04-09,5,420.63,463.76,10.25,5,True,10.0,Extreme Fear (1-10)|10%|30d
2025-11-18,2026-01-02,8,594.79,612.35,2.95,45,False,10.0,Extreme Fear (1-10)|10%|30d
2011-03-14,2011-04-26,13,49.31,51.6,4.64,43,False,10.0,Level2 Fear (11-20)|10%|30d
2011-05-23,2011-07-06,16,49.93,51.34,2.81,44,False,10.0,Level2 Fear (11-20)|10%|30d
2011-07-29,2011-09-12,16,51.0,47.36,-7.14,45,False,10.0,Level2 Fear (11-20)|10%|30d
2011-10-03,2011-10-11,20,45.05,49.61,10.13,8,True,10.0,Level2 Fear (11-20)|10%|30d
