date,etf,fiscal_q,actual_eps,est_eps,surprise_pct,entry_open,prev_close,etf_gap_pct,intraday_pct,ret_3d,win_3d,ret_5d,win_5d,ret_7d,win_7d,vix,nvda_gap,direction
2020-02-27,SMH,FY2020Q4,1.89,1.67,13.17,60.03,62.35,-3.72,5.91,9.58,1,11.42,1,5.84,1,40.11,-4.01,beat
2020-02-27,SOXX,FY2020Q4,1.89,1.67,13.17,69.12,71.61,-3.49,5.95,9.7,1,11.24,1,5.54,1,40.11,-4.01,beat
2020-05-21,SMH,FY2021Q1,1.8,1.66,8.43,66.37,66.34,0.05,0.16,1.02,1,2.55,1,2.37,1,28.16,0.57,beat
2020-05-21,SOXX,FY2021Q1,1.8,1.66,8.43,77.3,77.22,0.1,0.34,1.4,1,2.96,1,3.29,1,28.16,0.57,beat
2020-08-19,SMH,FY2021Q2,2.18,1.97,10.66,81.51,82.41,-1.09,0.3,1.92,1,3.07,1,2.19,1,22.54,-1.35,beat
2020-08-19,SOXX,FY2021Q2,2.18,1.97,10.66,94.04,95.13,-1.15,0.26,1.99,1,2.98,1,2.14,1,22.54,-1.35,beat
2020-11-18,SMH,FY2021Q3,2.91,2.57,13.23,95.09,95.59,-0.52,1.84,2.88,1,3.21,1,4.59,1,23.7,-1.61,beat
2020-11-18,SOXX,FY2021Q3,2.91,2.57,13.23,109.27,109.66,-0.36,1.84,2.81,1,3.37,1,4.37,1,23.7,-1.61,beat
2021-02-24,SMH,FY2021Q4,3.1,2.81,10.32,119.85,121.29,-1.19,-4.44,0.47,1,-2.62,0,-10.27,0,27.95,-3.13,beat
2021-02-24,SOXX,FY2021Q4,3.1,2.81,10.32,136.49,138.1,-1.17,-4.58,0.7,1,-2.32,0,-9.86,0,27.95,-3.13,beat
2021-05-26,SMH,FY2022Q1,3.66,3.28,11.59,118.75,118.98,-0.19,0.67,1.65,1,1.65,1,0.5,1,16.76,-0.0,beat
2021-05-26,SOXX,FY2022Q1,3.66,3.28,11.59,136.4,136.65,-0.19,0.61,1.26,1,1.26,1,0.12,1,16.76,-0.0,beat
2021-08-18,SMH,FY2022Q2,4.04,3.38,19.53,121.79,122.77,-0.8,1.69,5.06,1,5.13,1,6.44,1,18.56,2.38,beat
2021-08-18,SOXX,FY2022Q2,4.04,3.38,19.53,139.75,140.63,-0.63,1.46,5.1,1,5.1,1,5.99,1,18.56,2.38,beat
2021-11-17,SMH,FY2022Q3,5.16,4.42,16.74,150.3,146.89,2.32,0.14,-0.75,0,-1.47,0,-3.36,0,17.91,10.61,beat
2021-11-17,SOXX,FY2022Q3,5.16,4.42,16.74,172.52,169.44,1.82,-0.14,-1.32,0,-1.71,0,-3.4,0,17.91,10.61,beat
2022-02-16,SMH,FY2022Q4,4.43,3.65,21.37,134.59,136.29,-1.24,-2.8,-4.54,0,-4.54,0,-3.33,0,27.75,-3.32,beat
2022-02-16,SOXX,FY2022Q4,4.43,3.65,21.37,155.71,157.8,-1.33,-2.46,-4.14,0,-4.14,0,-3.0,0,27.75,-3.32,beat
2022-05-25,SMH,FY2023Q1,1.36,1.29,5.43,110.41,111.49,-0.97,4.35,8.04,1,8.04,1,10.02,1,25.72,-5.53,beat
2022-05-25,SOXX,FY2023Q1,1.36,1.29,5.43,126.5,127.69,-0.94,4.89,8.64,1,8.64,1,10.64,1,25.72,-5.53,beat
2022-08-24,SMH,FY2023Q2,0.51,0.5,2.0,111.47,111.26,0.18,3.17,-4.38,0,-5.47,0,-8.16,0,25.56,-2.19,beat
2022-08-24,SOXX,FY2023Q2,0.51,0.5,2.0,127.55,127.43,0.1,3.57,-4.28,0,-5.4,0,-8.12,0,25.56,-2.19,beat
2022-11-16,SMH,FY2023Q3,0.58,0.7,-17.14,103.99,106.07,-1.96,2.77,1.16,1,4.1,1,3.77,1,23.12,-1.23,miss
2022-11-16,SOXX,FY2023Q3,0.58,0.7,-17.14,117.33,119.82,-2.08,2.92,1.44,1,4.46,1,4.31,1,23.12,-1.23,miss
2023-02-22,SMH,FY2023Q4,0.88,0.81,8.64,119.5,115.55,3.42,0.12,-1.23,0,-1.18,0,-0.24,0,21.67,12.94,beat
2023-02-22,SOXX,FY2023Q4,0.88,0.81,8.64,134.82,130.43,3.37,-0.07,-1.35,0,-1.01,0,-0.19,0,21.67,12.94,beat
2023-05-24,SMH,FY2024Q1,1.09,0.92,18.48,136.08,127.6,6.64,1.83,7.35,1,7.35,1,6.21,1,17.95,26.15,beat
2023-05-24,SOXX,FY2024Q1,1.09,0.92,18.48,147.15,140.68,4.6,1.97,8.55,1,8.55,1,7.58,1,17.95,26.15,beat
2023-08-23,SMH,FY2024Q2,2.7,2.09,29.19,154.36,150.72,2.42,-4.88,-3.53,0,-1.06,0,-0.15,0,15.68,6.58,beat
2023-08-23,SOXX,FY2024Q2,2.7,2.09,29.19,166.59,163.5,1.89,-5.1,-3.48,0,-0.95,0,0.21,1,15.68,6.58,beat
2023-11-21,SMH,FY2024Q3,4.02,3.37,19.29,161.06,160.29,0.49,-0.7,-0.98,0,-0.98,0,-0.64,0,12.85,-0.18,beat
2023-11-21,SOXX,FY2024Q3,4.02,3.37,19.29,169.57,168.44,0.67,-0.35,-0.41,0,-0.41,0,0.08,1,12.85,-0.18,beat
2024-02-21,SMH,FY2024Q4,5.16,4.59,12.42,205.63,195.04,5.43,1.33,1.53,1,1.24,1,2.3,1,13.75,11.19,beat
2024-02-21,SOXX,FY2024Q4,5.16,4.59,12.42,209.5,201.57,3.94,0.95,0.85,1,0.75,1,2.32,1,13.75,11.19,beat
2024-05-22,SMH,FY2025Q1,6.12,5.59,9.48,242.32,234.82,3.2,-1.77,2.33,1,2.33,1,-0.77,0,11.93,7.45,beat
2024-05-22,SOXX,FY2025Q1,6.12,5.59,9.48,237.74,232.22,2.38,-2.87,0.73,1,0.73,1,-2.03,0,11.93,7.45,beat
2024-08-28,SMH,FY2025Q2,0.68,0.64,6.25,238.67,239.08,-0.17,-1.06,-6.35,0,-6.35,0,-6.74,0,15.0,-3.38,beat
2024-08-28,SOXX,FY2025Q2,0.68,0.64,6.25,224.47,223.28,0.53,-0.81,-5.99,0,-5.99,0,-6.19,0,15.0,-3.38,beat
2024-11-20,SMH,FY2025Q3,0.81,0.75,8.0,243.68,240.72,1.23,0.24,-0.76,0,-1.67,0,-1.38,0,15.24,2.37,beat
2024-11-20,SOXX,FY2025Q3,0.81,0.75,8.0,213.08,210.76,1.1,0.48,1.5,1,0.19,1,0.16,1,15.24,2.37,beat
2025-02-26,SMH,FY2025Q4,0.89,0.84,5.95,245.31,243.06,0.92,-7.02,-9.37,0,-8.47,0,-10.68,0,19.63,2.83,beat
2025-02-26,SOXX,FY2025Q4,0.89,0.84,5.95,217.51,216.28,0.57,-6.36,-8.23,0,-7.72,0,-9.65,0,19.63,2.83,beat
2025-05-28,SMH,FY2026Q1,0.96,0.89,7.87,248.23,241.61,2.74,-1.98,-2.29,0,-0.08,0,0.92,1,18.57,5.52,beat
2025-05-28,SOXX,FY2026Q1,0.96,0.89,7.87,211.68,206.92,2.3,-1.85,-2.35,0,0.28,1,1.34,1,18.57,5.52,beat
