date,ticker,short_seller,report_type,market_env,note,day0_price,entry_price,day1_drop_pct,drop_from_5d_high,drop_from_20d_high,drop_from_52w_high,pre5d_return,pre20d_return,vix,ret_3d,win_3d,ret_7d,win_7d,ret_14d,win_14d,ret_30d,win_30d,ret_60d,win_60d
2020-10-08,WKHS,Hindenburg,valuation,bull,Workhorse・過大評価,71310.0,80310.0,12.62,-0.74,-13.62,-13.62,6.74,19.56,25.0,-0.71,0,-14.79,0,-24.02,0,-29.17,0,-20.21,0
2022-05-02,IEP,Hindenburg,fraud,bear,Icahn Enterprises・詐欺,23.81,24.0,0.81,-0.78,-1.97,-1.97,0.13,0.62,25.42,2.42,1,-0.62,0,4.09,1,0.19,1,-5.18,0
2023-01-24,ADANIENT.NS,Hindenburg,fraud,neutral,Adani・会計不正,3437.28,3384.31,-1.54,-7.14,-13.06,-19.12,-6.88,-10.1,18.73,-14.64,0,-36.99,0,-36.14,0,-61.18,0,-49.16,0
2023-05-02,IEP,Hindenburg,fraud,neutral,Icahn 第2弾,21.14,17.06,-19.3,-37.24,-38.47,-38.47,-36.72,-38.03,20.09,12.37,1,-1.07,0,6.48,1,-28.13,0,-5.55,0
2023-09-07,SMCI,Hindenburg,fraud,bull,Super Micro・会計不正,26.75,28.07,4.93,-2.19,-5.93,-21.38,4.76,5.46,13.84,-1.19,0,-11.19,0,-16.0,0,3.33,1,-9.36,0
2024-01-02,CVNA,Hindenburg,valuation,bull,Carvana・会計,48.87,46.69,-4.46,-22.82,-25.4,-25.4,-14.71,32.64,14.13,3.51,1,0.11,1,-9.6,0,-6.94,0,74.64,1
2021-09-13,GCMG,MuddyWaters,fraud,bull,GCM Grosvenor・詐欺,9.46,9.46,0.0,-2.44,-2.44,-23.12,2.39,3.58,18.18,-1.3,0,-3.28,0,-1.38,0,-1.64,0,4.49,1
2022-06-01,RUN,MuddyWaters,valuation,bear,Sunrun・過大評価,25.2,26.98,7.06,-1.16,-1.16,-55.48,21.26,17.61,24.79,5.15,1,-0.56,0,-21.68,0,-7.67,0,11.97,1
2023-03-27,NUVB,MuddyWaters,fraud,neutral,Nuvation Bio・詐欺,1.61,1.61,0.0,-10.06,-21.27,-62.65,-3.59,-19.1,19.12,3.11,1,8.7,1,8.07,1,-1.24,0,-2.48,0
2024-02-13,FTAI,MuddyWaters,fraud,bull,FTAI Aviation・会計不正,51.65,52.69,2.02,-3.14,-4.23,-4.23,-2.33,12.12,14.01,-2.13,0,-1.24,0,3.48,1,11.68,1,32.1,1
2024-03-27,APP,MuddyWaters,valuation,bull,AppLovin・過大評価,68.86,69.22,0.52,-7.15,-7.15,-7.15,-1.84,19.32,13.01,-0.12,0,5.14,1,13.03,1,5.45,1,20.24,1
2025-03-05,SOFI,MuddyWaters,fraud,neutral,SoFi・会計操作,13.43,12.45,-7.3,-16.47,-27.24,-32.41,-13.96,-18.57,23.37,-10.2,0,-8.51,0,1.53,1,-20.8,0,3.29,1
2021-12-06,PRTA,Kerrisdale,valuation,bull,Prothena・過大評価,44.06,49.36,12.03,-5.73,-19.33,-38.11,0.28,-16.25,19.9,-11.47,0,-14.69,0,-4.72,0,-11.59,0,-29.68,0
2023-08-10,IONQ,Kerrisdale,valuation,bull,IonQ・量子過大評価,14.19,15.71,10.71,-17.4,-22.0,-22.0,-14.11,8.64,14.84,-5.28,0,-14.58,0,-6.62,0,25.27,1,1.85,1
2023-10-17,QBTS,Kerrisdale,valuation,bull,D-Wave・量子過大評価,0.94,0.89,-4.89,-22.84,-22.84,-72.03,-16.36,-5.89,21.4,-13.41,0,-24.02,0,-9.94,0,-4.02,0,8.6,1
2024-04-03,OKLO,Kerrisdale,valuation,bull,Oklo・原子力過大評価,12.87,12.9,0.23,1.65,1.65,1.65,16.74,20.79,16.03,24.42,1,3.95,1,-1.78,0,15.89,1,-27.98,0
2022-01-14,SGML,Grizzly,fraud,bear,Sigma Lithium・詐欺,10.68,10.73,0.47,-12.76,-12.76,-12.76,-3.59,6.45,19.19,-9.32,0,-14.26,0,-6.43,0,-8.95,0,20.5,1
2022-09-19,MASI,Grizzly,fraud,bear,Masimo・ガバナンス,152.72,151.64,-0.71,-3.84,-5.46,-49.42,-3.11,-2.62,27.99,-6.17,0,-7.67,0,-3.11,0,-10.85,0,-8.36,0
2023-05-22,TPVG,Grizzly,valuation,neutral,TriplePoint・過大評価,6.75,6.6,-2.21,-2.03,-13.8,-14.78,1.14,-13.45,20.03,2.54,1,2.17,1,5.27,1,9.91,1,21.01,1
2024-01-18,LAC,Bleecker,valuation,bull,Lithium Americas・過大評価,4.87,4.54,-6.78,-24.21,-34.77,-63.33,-22.66,-30.05,13.3,1.54,1,1.54,1,-7.27,0,-5.29,0,22.47,1
