date,ticker,short_seller,report_type,market_env,note,day0_price,entry_price,day1_drop_pct,drop_from_20d_high,drop_from_52w_high,pre20d_return,vix,impact_score,short_pct_float,inst_own_pct,analyst_count,rec_mean,rec_key,revenue_growth,earnings_growth,beta,analyst_upside_pct,ret_7d,win_7d,ret_30d,win_30d,ret_60d,win_60d
2020-10-08,WKHS,Hindenburg,valuation,bull,Workhorse・過大評価,71310.0,80310.0,12.62,-13.62,-13.62,19.56,25.0,30,4.1,0.8,1,,none,63.7,,,-7.7,-14.79,0,-29.17,0,-20.21,0
2022-05-02,IEP,Hindenburg,fraud,bear,Icahn Enterprises・詐欺,23.81,24.0,0.81,-1.97,-1.97,0.62,25.42,85,15.4,93.3,1,,none,5.9,,0.772,43.7,-0.62,0,0.19,1,-5.18,0
2023-01-24,ADANIENT.NS,Hindenburg,fraud,neutral,Adani・会計不正,3437.28,3384.31,-1.54,-13.06,-19.12,-10.1,18.73,75,,14.4,2,1.0,strong_buy,8.6,9629.6,0.542,8.5,-36.99,0,-61.18,0,-49.16,0
2023-05-02,IEP,Hindenburg,fraud,neutral,Icahn 第2弾,21.14,17.06,-19.3,-38.47,-38.47,-38.03,20.09,80,15.4,93.3,1,,none,5.9,,0.772,43.7,-1.07,0,-28.13,0,-5.55,0
2023-09-07,SMCI,Hindenburg,fraud,bull,Super Micro・会計不正,26.75,28.07,4.93,-5.93,-21.38,5.46,13.84,73,19.3,56.4,15,,none,123.4,19.2,1.629,22.6,-11.19,0,3.33,1,-9.36,0
2024-01-02,CVNA,Hindenburg,valuation,bull,Carvana・会計,48.87,46.69,-4.46,-25.4,-25.4,32.64,14.13,0,13.5,104.4,22,1.96,buy,52.0,11.9,3.614,21.1,0.11,1,-6.94,0,74.64,1
2021-09-13,GCMG,MuddyWaters,fraud,bull,GCM Grosvenor・詐欺,9.46,9.46,0.0,-2.44,-23.12,3.58,18.18,45,3.4,105.5,4,1.6,buy,6.8,104.4,0.883,32.5,-3.28,0,-1.64,0,4.49,1
2022-06-01,RUN,MuddyWaters,valuation,bear,Sunrun・過大評価,25.2,26.98,7.06,-1.16,-55.48,17.61,24.79,23,27.3,113.1,18,2.0,buy,123.5,,2.368,50.6,-0.56,0,-7.67,0,11.97,1
2023-03-27,NUVB,MuddyWaters,fraud,neutral,Nuvation Bio・詐欺,1.61,1.61,0.0,-21.27,-62.65,-19.1,19.12,65,24.0,61.2,9,1.4,strong_buy,633.1,,1.61,174.7,8.7,1,-1.24,0,-2.48,0
2024-02-13,FTAI,MuddyWaters,fraud,bull,FTAI Aviation・会計不正,51.65,52.69,2.02,-4.23,-4.23,12.12,14.01,43,8.8,100.8,10,1.4,strong_buy,65.5,48.3,1.649,41.2,-1.24,0,11.68,1,32.1,1
2024-03-27,APP,MuddyWaters,valuation,bull,AppLovin・過大評価,68.86,69.22,0.52,-7.15,-7.15,19.32,13.01,0,4.3,81.2,28,1.46667,strong_buy,65.9,84.7,2.502,39.0,5.14,1,5.45,1,20.24,1
2025-03-05,SOFI,MuddyWaters,fraud,neutral,SoFi・会計操作,13.43,12.45,-7.3,-27.24,-32.41,-18.57,23.37,65,12.6,52.1,20,2.70833,hold,42.5,99.1,2.251,32.1,-8.51,0,-20.8,0,3.29,1
2021-12-06,PRTA,Kerrisdale,valuation,bull,Prothena・過大評価,44.06,49.36,12.03,-19.33,-38.11,-16.25,19.9,35,15.7,89.2,5,,none,-99.0,,-0.331,97.4,-14.69,0,-11.59,0,-29.68,0
2023-08-10,IONQ,Kerrisdale,valuation,bull,IonQ・量子過大評価,14.19,15.71,10.71,-22.0,-22.0,8.64,14.84,23,23.2,52.6,14,1.5,strong_buy,428.5,,2.803,39.7,-14.58,0,25.27,1,1.85,1
2023-10-17,QBTS,Kerrisdale,valuation,bull,D-Wave・量子過大評価,0.94,0.89,-4.89,-22.84,-72.03,-5.89,21.4,26,16.0,45.8,15,1.33333,strong_buy,19.2,,1.773,74.6,-24.02,0,-4.02,0,8.6,1
2024-04-03,OKLO,Kerrisdale,valuation,bull,Oklo・原子力過大評価,12.87,12.9,0.23,1.65,1.65,20.79,16.03,28,18.8,45.8,18,1.85714,buy,,,0.943,29.8,3.95,1,15.89,1,-27.98,0
2022-01-14,SGML,Grizzly,fraud,bear,Sigma Lithium・詐欺,10.68,10.73,0.47,-12.76,-12.76,6.45,19.19,70,8.9,84.7,3,1.25,strong_buy,-64.3,,0.078,-17.3,-14.26,0,-8.95,0,20.5,1
2022-09-19,MASI,Grizzly,fraud,bear,Masimo・ガバナンス,152.72,151.64,-0.71,-5.46,-49.42,-2.62,27.99,73,8.0,109.9,3,3.0,hold,12.0,,1.202,0.9,-7.67,0,-10.85,0,-8.36,0
2023-05-22,TPVG,Grizzly,valuation,neutral,TriplePoint・過大評価,6.75,6.6,-2.21,-13.8,-14.78,-13.45,20.03,45,6.4,11.5,5,3.33333,hold,-12.7,,1.38,5.2,2.17,1,9.91,1,21.01,1
2024-01-18,LAC,Bleecker,valuation,bull,Lithium Americas・過大評価,4.87,4.54,-6.78,-34.77,-63.33,-30.05,13.3,25,7.3,29.2,9,2.72727,hold,,,3.057,3.8,1.54,1,-5.29,0,22.47,1
